"Club";"Barra";"Titulo";"Letra"
"ferro carril oeste";"la banda 100 caballito";"yo te quiero verdolaga y no me importa lo que digan";"yo te quiero verdolaga y no me importa lo que digan esos putos de liniers el periodismo y la policía vayas a donde vayas esta es tu hinchada la que te alienta con un cartón con un papel yyyyy fumando marihuana vamos oeste no le falle a su gente la que te sigue la que te alienta siempre vamos oeste tenemos que ganar y todos juntos... la vuelta vamo' a dar..."
"club atletico estudiantes";"la barra de caseros";"de caseros soy del barrio mas loco";"de caseros soy del barrio mas loco de toda la argentina me gusta el me gusta la cerveza y tomar cocaina yo soy del pincha porque tenemos aguante no como almagro son todos vigilantes esta tribuna los 90 minutos no para de alentarte"
"club atletico estudiantes";"la barra de caseros";"el que no salta";"hay que alentar hasta la muerte... porque al pincha lo quiero  soy del barrio de caseros y lo llevo en el corazón. no somos como mataderos  gritan cuando van primeros y después todo acabó. oh oh oh oh el que no salta es de morón."
"club atletico estudiantes";"la barra de caseros";"esta descontrolada la banda del pincha";"esta descontrolada la banda del pincha que toma merca y vino en damajuana esta re sarpada"
"club atletico estudiantes";"la barra de caseros";"me muero de amor el viejo marquez";"dale matador  nosotros alentamos ustedes pongan huevo para ser campeón. almagro cagón  vos siempre corriste vos sos un cobarde cerraste el portón. cómo olvidar aquella tarde cagón  tiraste piedras saltaste al golf  yo te sigo yo siempre te aliento  este año queremos el ascenso. quiero volverte a ver para volverte a correr. y dale dale dale dale matador  y dale dale dale dale matador."
"club atletico estudiantes";"la barra de caseros";"muchachos traigan vino juega el matador";"todo lo que yo vivi todo lo que yo deje por seguirlo a estudiantes nadie lo puede entender ya nose ni como explicar que te llevo hasta en la piel sos la droga que en las venas me inyectaron al nacer se me parte el corazon cada vez que vos perdes me pongo de la cabeza y otra vez te vengo a ver muchachos traigan vino juega el matador"
"club atletico estudiantes";"la barra de caseros";"santurrona el guachoon";"vamos vamos vamos estudiantes  hay que poner más huevo... para salir primeros. esta banda siempre está de fiesta  todos descontrolados... queremos dar la vuelta. esta es tu gente  la barra de caseros siempre presente. yo voy contigo  fumando marihuana y tomando vino."
"club atletico estudiantes";"la barra de caseros";"vengo del barrio de caseros";"vengo del barrio de caseros al pincha lo sigo donde va al gallo lo corrimo en caseros los trapos de los andes estan aca dale dale matador ponga huevo y corazon esta hinchada se merece ser campeon en las buenas vamos a estar en las malas muchos mas este año volvemo al nacional"
"nueva chicago";"los pibes de chicago";"como te va moron";"como te va moron?? como te va a todas partes vos llevas a yuta atras aguante no tenes siempre corres  andate gallo sos la puta de la b"
"nueva chicago";"los pibes de chicago";"de mataderos vengo";"de mataderos vengo hay que pedo tengo a la cancha voy a ver al campeon la la la la borracho "
"nueva chicago";"los pibes de chicago";"en el barrio de mataderos hay una banda";"en el barrio de mataderos hay una banda  que lo sigue a chicago a donde va  que lo sigue no le importa donde juegue   si juega de visitante o de loca  chicagooo yo te sigo con el faso y el alcohol  chicagooo doy la vida por verte salir campeón."
"nueva chicago";"los pibes de chicago";"en el barrio mataderos hay una banda";"en el barrio mataderos hay una banda que lo sigue a chicago a donde va que lo sigue no le importa donde juegue siempre de visitante o de local chicagoo y te sigo con el faso y el alcohol  chicagooo doy la vida por verte salir campeon"
"nueva chicago";"los pibes de chicago";"gritemos todos que vamos a volver y velez ya tiene miedo";"soy de chicago porque es una pasion que nace desde la cuna como expresarte lo que siento por vos chicago sos mi locura  hoy como siempre yo te vengo a alentar yo quiero verte ganar quiero que pongas mas huevos gritemos todos que vamos a volver y velez ya tiene miedo.."
"nueva chicago";"los pibes de chicago";"la que te alientan son los pibes de chicago";"vamos a volver la banda lo merece se quiere ir de la b te demostro. que nos fuimos al descenso y no te abandono esta es tu hinchada que te sigue a todos lados la que te alientan son los pibes de chicago con la falopa y con el vino a todas partes mataderos querido siempre voy alentarte hay una cosa que yo no puedo dejar que es ir a verte a donde vayas a jugar por eso dejen todo nuestro jugadores este año tiene que salir campeones ohh matadeee ohh matadee"
"nueva chicago";"los pibes de chicago";"mi historia entre tus dedos";"ohh matade ohh matade ohh matade ohh matade vamo a volver  esta banda lo merece se quiere ir de la b  te demostro que nos fuimos al descenso y nunca te abandono esta es tu hinchada que te sigue a todos lados los que te alientan son  los pibes de chicago con la falopa con el vino a todos lados mataderos querido siempre voy alentarte hay una cosa que yo no puedo dejar que es irte a donde vayas a jugar por eso dejen todos nuestros jugadores este año tienen q salir campeones"
"nueva chicago";"los pibes de chicago";"se toma todo el vino";"que loca esta la hinchada cuando va a ver al verde  a ver a mataderos lo quiero ver ganar  que loca esta la hinchada cuando va a ver al verde se toma todo el vino se lo toma todo y ya no queda mas"
"nueva chicago";"los pibes de chicago";"siempre a tu lado";"vamos vamos vamos mataderos para salir primero hay que poner mas huevo  esta banda se banco el descenso los malos resultados y aca estamos de nuevo  siempree a tu lado van a estar los pibes de chicago yooooo voy contigoo  fumando marihuana y tomando vino"
"nueva chicago";"los pibes de chicago";"siguen pasando los anos como siempre te vengo a ver";"vamo vamo matadero esta tarde tenes que ganar ni ortiva como chacharita ni amargo como huracan siguen pasando los años como siempre te vengo a ver chicago es un sentimiento nunca nadie lo va a entender vamos matade vamos matade tenes que salir campeon esta es la banda que te alienta de corazon..."
"nueva chicago";"los pibes de chicago";"soy de chicago no me importa lo que digan";"soy de chicago no me importa lo que digan el periodismo ni toda la policía yo a vos te sigo por toda la argentina fumando porro y tomando cocaína todas las bandas ya conocen nuestro aguante   ya todos saben que chicago es el gigante   siempre copando la banda de mataderos que me la chupen las gallinas y los bosteros y dale dale dale dale verde y dale dale dale dale verde y dale dale dale dale verde y dale dale dale dale verde "
"nueva chicago";"los pibes de chicago";"vengo del barrio mataderos";"vengo del barrio mataderos al verde lo sigo a donde vá  copando en todos los estadios  chicago es fiesta y carnaval dale dale dale ve  ponga huevo y corazon esta hinchada se merece la primera division  en las buenas vamo a estar  en las malas mucho mas  en silencio nunca vas a jugar"
